Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Fungi,Mucoromycota,Mucoromycetes,Mucorales,Pilobolaceae,Utharomyces,Utharomyces_epallocaulus,2,0.006
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Astrosphaeriella,Astrosphaeriella_africana,2,0.006
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_catenatum,2,0.006
Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,,2,0.006
Fungi,Entorrhizomycota,Entorrhizomycetes,Talbotiomycetales,Talbotiomycetaceae,Talbotiomyces,Talbotiomyces_calosporus,2,0.006
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_inflatus,2,0.006
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,,,2,0.006
Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,,2,0.006
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Coniosporium,Coniosporium_apollinis,2,0.006
Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,Pezicula_corticola,2,0.006
Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,Umbilicariaceae,Lasallia,Lasallia_pertusa,2,0.006
Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Podonectria,,2,0.006
